"Longitude" "Latitude"
"1024" 8.083 46.75
"1025" 8.25 46.75
"1026" 6.583 46.917
"1027" 6.75 46.917
"1028" 6.917 46.917
"1029" 7.083 46.917
"1030" 7.25 46.917
"1031" 7.417 46.917
"1032" 7.583 46.917
"1033" 7.75 46.917
"1034" 6.75 47.083
"1035" 6.917 47.083
"1036" 7.083 47.083
"1037" 7.25 47.083
"1038" 7.417 47.083
"1039" 7.583 47.083
"1040" 7.75 47.083
"1041" 7.083 47.25
"1042" 7.25 47.25
"1043" 7.417 47.25
"1044" 7.583 47.25
"1045" 7.75 47.25
"1046" 7.083 47.417
"1047" 7.25 47.417
"1048" 7.417 47.417
"1049" 7.583 47.417
"1050" 8.417 47.25
"1051" 7.75 47.417
"1052" 7.917 47.417
"1053" 8.083 47.417
"1054" 8.25 47.417
"1055" 7.583 47.583
"1056" 8.25 47.583
"1057" 8.583 47.25
"1058" 8.75 47.25
"1059" 8.417 47.417
"1060" 8.583 47.417
"1061" 8.75 47.417
"1062" 8.917 47.417
"1063" 8.583 47.583
"1064" 8.75 47.583
"1065" 9.083 46.417
"1066" 9.25 46.417
"1067" 9.583 46.417
"1068" 9.75 46.417
"1069" 9.917 46.417
"1070" 10.083 46.417
"1071" 8.75 46.583
"1072" 9.083 46.583
"1073" 9.25 46.583
"1074" 9.417 46.583
"1075" 9.583 46.583
"1076" 9.75 46.583
"1077" 9.917 46.583
"1078" 10.083 46.583
"1079" 10.417 46.583
"1080" 8.917 46.75
"1081" 9.083 46.75
"1082" 9.25 46.75
"1083" 9.417 46.75
"1084" 9.583 46.75
"1085" 9.75 46.75
"1086" 9.917 46.75
"1087" 10.083 46.75
"1088" 10.25 46.75
"1089" 10.417 46.75
"1090" 9.083 46.917
"1091" 9.25 46.917
"1092" 9.417 46.917
"1093" 9.583 46.917
"1094" 9.75 46.917
"1095" 9.917 46.917
"1096" 10.417 46.917
"1097" 9.083 47.083
"1098" 9.25 47.083
"1099" 9.417 47.083
"1100" 8.917 47.25
"1101" 9.083 47.25
"1102" 9.25 47.25
"1103" 9.417 47.25
"1104" 9.083 47.417
"1105" 9.25 47.417
"1106" 9.417 47.417
"1107" 9.583 47.417
"1108" 8.917 47.583
"1109" 9.083 47.583
"1110" 9.25 47.583
"1111" 9.417 47.583
"1112" 8.583 47.75
"1113" 8.583 46.583
"1114" 8.417 46.75
"1115" 8.583 46.75
"1116" 8.75 46.75
"1117" 7.917 46.917
"1118" 8.083 46.917
"1119" 8.25 46.917
"1120" 8.417 46.917
"1121" 8.583 46.917
"1122" 8.75 46.917
"1123" 8.917 46.917
"1124" 7.917 47.083
"1125" 8.083 47.083
"1126" 8.25 47.083
"1127" 8.417 47.083
"1128" 8.583 47.083
"1129" 8.75 47.083
"1130" 8.917 47.083
"1131" 7.917 47.25
"1132" 8.083 47.25
"1133" 8.25 47.25
"1134" 8.917 45.917
"1135" 8.917 46.083
"1136" 8.583 46.25
"1137" 8.75 46.25
"1138" 8.917 46.25
"1139" 9.083 46.25
"1140" 8.583 46.417
"1141" 8.75 46.417
"1142" 8.917 46.417
"1143" 8.917 46.583
"1144" 14.417 50.083
"1145" 14.583 50.083
"1146" 13.75 49.583
